file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/defines.h,219,0,0,0,1.22
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/split_vq.h,38,0,0,0,3.25
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/constants.h,92,0,0,0,0.67
tools/reorder/elf_symbol_table.cpp,117,4,4,2,0.15
tools/reorder/elf_symbol_table.h,82,1,5,0,0.79
tools/reorder/elf_utils.h,23,0,0,0,6.00
tools/reorder/interval_map.h,326,2,19,6,0.34
layout/style/nsCSSPseudoElementList.h,62,0,0,0,1.17
layout/style/nsCSSPseudoElements.h,92,1,4,0,0.81
build/stlport/src/facets_byname.cpp,1057,2,94,3,0.20
build/stlport/src/stlport_prefix.h,43,0,0,0,0.00
build/stlport/src/c_locale.h,450,0,0,0,1.81
build/stlport/src/locale_impl.h,133,1,2,0,0.59
build/stlport/src/acquire_release.h,46,0,0,0,1.00
build/stlport/stlport/stl/config/_linux.h,125,0,0,0,0.00
build/stlport/stlport/stl/config/stl_confix.h,97,0,0,0,0.00
media/webrtc/trunk/tools/gyp/test/same-source-file-name/src/prog1.c,16,1,1,0,0.86
tools/profiler/nsProfiler.h,29,0,0,0,0.42
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/simple_lsf_quant.h,37,0,0,0,4.17
intl/locale/src/nsLanguageAtomService.cpp,161,4,9,4,0.05
intl/locale/src/nsLanguageAtomService.h,46,1,1,0,0.24
intl/unicharutil/util/nsUnicharUtils.h,147,1,2,0,1.24
xpcom/glue/nsServiceManagerUtils.h,101,1,8,1,0.08
image/build/nsImageModule.cpp,111,1,2,0,0.08
image/src/ImageFactory.h,79,0,0,0,0.86
image/src/RasterImage.h,793,1,17,1,0.87
image/src/SurfaceCache.h,172,1,3,1,1.22
image/src/imgLoader.h,483,1,21,1,0.16
image/src/imgRequest.h,252,1,10,0,0.45
image/src/imgRequestProxy.h,253,1,7,1,0.39
image/src/imgTools.h,36,0,0,0,0.38
